Date,Month,Year,Type,Category,Sub-Category,Description,Amount,Account,Notes
2024-01-01,Jan,2024,Income,Salary,Monthly Salary,Monthly Salary Credit,65000,HDFC Savings,
2024-01-07,Jan,2024,Savings,Investments,Mutual Fund SIP,Zerodha SIP - Nifty 50,10000,Zerodha,
2024-01-08,Jan,2024,Savings,Emergency,Emergency Fund,Emergency Fund Transfer,5000,SBI Savings,
2024-01-10,Jan,2024,Expense,Housing,Rent,Monthly Rent Payment,12000,HDFC Savings,
2024-01-12,Jan,2024,Expense,Food,Groceries,BigBasket Monthly,3200,ICICI CC,
2024-01-14,Jan,2024,Expense,Transport,Metro,Metro Card Recharge,500,Cash,
2024-01-15,Jan,2024,Expense,Food,Dining Out,Dinner at Toit,1800,ICICI CC,
2024-01-18,Jan,2024,Expense,Health,Gym,Cult.fit Monthly,1500,HDFC Savings,
2024-01-20,Jan,2024,Expense,Shopping,Clothing,Myntra Order,2400,ICICI CC,
2024-01-22,Jan,2024,Expense,Entertainment,Streaming,Netflix + Spotify,649,ICICI CC,
2024-01-25,Jan,2024,Expense,Education,Course Fee,Udemy Course,1299,ICICI CC,
2024-01-28,Jan,2024,Expense,Housing,Electricity,BESCOM Bill,850,HDFC Savings,
2024-02-01,Feb,2024,Income,Salary,Monthly Salary,Monthly Salary Credit,65000,HDFC Savings,
2024-02-05,Feb,2024,Income,Freelance,Project Payment,Freelance Project - Feb,12000,HDFC Savings,
2024-02-07,Feb,2024,Savings,Investments,Mutual Fund SIP,Zerodha SIP - Nifty 50,10000,Zerodha,
2024-02-10,Feb,2024,Expense,Housing,Rent,Monthly Rent Payment,12000,HDFC Savings,
2024-02-12,Feb,2024,Expense,Food,Groceries,Supermarket Shopping,2800,ICICI CC,
2024-02-14,Feb,2024,Expense,Food,Dining Out,Valentine Dinner,3500,ICICI CC,
2024-02-16,Feb,2024,Expense,Transport,Cab,Ola/Uber Monthly,900,Cash,
2024-02-20,Feb,2024,Expense,Health,Pharmacy,Medicine Purchase,600,Cash,
2024-02-22,Feb,2024,Expense,Shopping,Electronics,Phone Accessories,1200,ICICI CC,
2024-02-25,Feb,2024,Expense,Others,Gifts,Birthday Gift,1500,Cash,
2024-03-01,Mar,2024,Income,Salary,Monthly Salary,Monthly Salary Credit,65000,HDFC Savings,
2024-03-05,Mar,2024,Income,Salary,Bonus,Q1 Performance Bonus,15000,HDFC Savings,
2024-03-07,Mar,2024,Savings,Investments,Mutual Fund SIP,Zerodha SIP - Nifty 50,10000,Zerodha,
2024-03-08,Mar,2024,Savings,Emergency,Emergency Fund,Emergency Fund Transfer,5000,SBI Savings,
2024-03-10,Mar,2024,Expense,Housing,Rent,Monthly Rent Payment,12000,HDFC Savings,
2024-03-15,Mar,2024,Expense,Food,Groceries,Monthly Groceries,3100,ICICI CC,
2024-03-18,Mar,2024,Expense,Education,Certification,AWS Certification Fee,8000,ICICI CC,
2024-03-22,Mar,2024,Expense,Shopping,Books,Tech Books - Amazon,1800,ICICI CC,
2024-03-25,Mar,2024,Expense,Health,Doctor,Annual Health Checkup,2500,HDFC Savings,
2024-03-28,Mar,2024,Expense,Others,Travel,Weekend Trip to Coorg,6000,ICICI CC,
